questionnaire_1_label,questionnaire_2_label,n_common,auc_1,auc_2,auc_diff,p_raw,p_holm,significant_holm_p05
AQ,ASRS,429,0.7809765335887501,0.9863294004963211,-0.20535286690757104,2.862239562893532e-21,1.0876510338995421e-19,TRUE
AQ,WURS,426,0.78074765942413,0.9450958311252429,-0.16434817170111282,9.770674687691667e-15,3.1266159000613336e-13,TRUE
AQ,BDI,429,0.7809765335887501,0.7712024903130306,0.009774043275719513,0.6969932215074606,1,FALSE
AQ,OCI-R,423,0.7808143964860382,0.7274102460669625,0.05340415041907576,0.025013562417439343,0.5252848107662262,FALSE
AQ,PQ-B,346,0.779645160212503,0.7004076313942998,0.07923752881820312,0.005256976760486552,0.11565348873070415,FALSE
AQ,STAI-State,426,0.7821718777601131,0.7310214626391097,0.05115041512100338,0.06479326066922537,1,FALSE
AQ,STAI-Trait,426,0.7821718777601131,0.7499116763822646,0.03226020137784846,0.19019072855048746,1,FALSE
AQ,PATAS,193,0.8130298973672467,0.7265729585006693,0.08645693886657746,0.13691041068211807,1,FALSE
AQ,ICAR,424,0.7816876282222817,0.5193448398893944,0.26234278833288727,4.973407818134167e-13,1.5417564236215915e-11,TRUE
ASRS,WURS,427,0.9865910489756441,0.9453420381605557,0.04124901081508836,2.2097478608383565e-5,5.303394866012056e-4,TRUE
ASRS,BDI,430,0.9863904299583911,0.7700459431345353,0.21634448682385576,4.164678191300749e-23,1.624224494607292e-21,TRUE
ASRS,OCI-R,424,0.9875175691051469,0.7267251188006157,0.26079245030453113,4.542458101749435e-27,1.953256983752257e-25,TRUE
ASRS,PQ-B,347,0.9861304896684605,0.7010663743272871,0.2850641153411734,1.6797847889023955e-25,6.887117634499821e-24,TRUE
ASRS,STAI-State,427,0.9871296052053108,0.729809636859228,0.25731996834608284,4.730652918132278e-27,1.9868742256155568e-25,TRUE
ASRS,STAI-Trait,427,0.9871296052053108,0.7489448694275916,0.23818473577771915,6.310599138944639e-25,2.5242396555778556e-23,TRUE
ASRS,PATAS,193,0.9920794288264168,0.7265729585006693,0.2655064703257475,2.686278675771176e-7,6.984324557005058e-6,TRUE
ASRS,ICAR,425,0.9870021755538783,0.5177818230253518,0.46922035252852645,2.2892986653290975e-61,1.030184399398094e-59,TRUE
WURS,BDI,427,0.9453420381605557,0.7693440604941528,0.1759979776664029,5.554042863050892e-17,1.8328341448067944e-15,TRUE
WURS,OCI-R,423,0.9465734391107525,0.7261664649724351,0.22040697413831745,8.920582132739974e-21,3.3006153891137906e-19,TRUE
WURS,PQ-B,346,0.9440175081025093,0.7004076313942998,0.24360987670820944,1.221702116533507e-19,4.275957407867275e-18,TRUE
WURS,STAI-State,424,0.9453438587101953,0.7289603960396039,0.2163834626705914,5.032731383580509e-20,1.811783298088983e-18,TRUE
WURS,STAI-Trait,424,0.9453438587101953,0.7480822406564981,0.19726161805369724,7.169126889665687e-19,2.4375031424863335e-17,TRUE
WURS,PATAS,193,0.9429941990182954,0.7265729585006693,0.21642124051762612,5.662411223913324e-5,0.0013023545815000646,TRUE
WURS,ICAR,423,0.9453856841916544,0.5184998431267088,0.42688584106494554,6.655297777366345e-47,2.928331022041192e-45,TRUE
BDI,OCI-R,424,0.7754054837918033,0.7267251188006157,0.04868036499118755,0.051706954359051746,0.9824321328219832,FALSE
BDI,PQ-B,347,0.7519600026576307,0.7010663743272871,0.05089362833034361,0.06617685200995344,1,FALSE
BDI,STAI-State,427,0.7741361118438407,0.729809636859228,0.04432647498461273,0.026873976896216945,0.5374795379243389,FALSE
BDI,STAI-Trait,427,0.7741361118438407,0.7489448694275916,0.025191242416249038,0.17475734236189297,1,FALSE
BDI,PATAS,193,0.7620481927710843,0.7265729585006693,0.03547523427041499,0.6239318246765306,1,FALSE
BDI,ICAR,425,0.7726768192514318,0.5177818230253518,0.25489499622608003,8.576329177967608e-12,2.5728987533902826e-10,TRUE
OCI-R,PQ-B,346,0.7212476610531944,0.7026530339481423,0.01859462710505211,0.49908572713159205,1,FALSE
OCI-R,STAI-State,424,0.7267251188006157,0.729658880485465,-0.0029337616848492676,0.9132640651003613,1,FALSE
OCI-R,STAI-Trait,424,0.7267251188006157,0.7495259130357182,-0.022800794235102506,0.3599263710226518,1,FALSE
OCI-R,PATAS,193,0.7226684515841142,0.7278000892458724,-0.0051316376617581705,0.9389867485012416,1,FALSE
OCI-R,ICAR,423,0.7255044843049328,0.5145515695067264,0.21095291479820633,4.822747620193322e-9,1.3503693336541302e-7,TRUE
PQ-B,STAI-State,347,0.7010663743272871,0.7137565610258455,-0.01269018669855837,0.7086847077703298,1,FALSE
PQ-B,STAI-Trait,347,0.7010663743272871,0.7302006511195269,-0.02913427679223979,0.33585304752001865,1,FALSE
PQ-B,PATAS,193,0.7354975457385096,0.7265729585006693,0.008924587237840287,0.8940471126608565,1,FALSE
PQ-B,ICAR,346,0.6994119219460038,0.5116780272654371,0.18773389468056667,8.376047322642818e-6,2.0940118306607045e-4,TRUE
STAI-State,STAI-Trait,427,0.729809636859228,0.7489448694275916,-0.01913523256836369,0.23563694998311274,1,FALSE
STAI-State,PATAS,193,0.7240071396697902,0.7265729585006693,-0.0025658188308790297,0.9736692925277703,1,FALSE
STAI-State,ICAR,425,0.7278781689828175,0.5177818230253518,0.21009634595746574,1.2870011322439606e-8,3.4749030570586934e-7,TRUE
STAI-Trait,PATAS,193,0.7349397590361446,0.7265729585006693,0.008366800535475338,0.9017511020548709,1,FALSE
STAI-Trait,ICAR,425,0.747069662123163,0.5177818230253518,0.22928783909781114,1.019366891899621e-9,2.956163986508901e-8,TRUE
PATAS,ICAR,192,0.7251402918069585,0.5843995510662178,0.14074074074074072,0.07791966212443974,1,FALSE
