Measure,ADHD N,TD N,Observed CLES,Posterior Median CLES,Posterior Mean CLES,Posterior SD CLES,95% CrI Lower,95% CrI Upper,P(CLES > 0.50),Posterior Draws Used
AQ,206,223,0.7809765335887501,0.7768154483326469,0.7765491167440669,0.021383933229837112,0.7337932299874985,0.8166923151077025,1,4000
ASRS,207,225,0.9865163714439077,0.9855711265408809,0.9851663955778607,0.003810100451660269,0.9765948067324237,0.9915188039295388,1,4000
WURS,204,223,0.9453420381605557,0.9397989874041158,0.9390139108365892,0.010483085358863215,0.9159475860399179,0.9574783642557073,1,4000
BDI,206,224,0.7700459431345353,0.7526286899600554,0.7526903353380839,0.022814346230684665,0.7064792602856754,0.7959784240610751,1,4000
OCI-R,202,223,0.7268791901611685,0.7094230723272648,0.7090540270043286,0.023930054766454913,0.6623925444857349,0.7548846939148326,1,4000
PQ-B,173,174,0.7010663743272872,0.686152419374835,0.6860374948415698,0.027620002644010305,0.6312470537299222,0.7393599990054485,1,4000
STAI-State,204,223,0.729809636859228,0.7278285661317909,0.7272880328107062,0.023050496966564818,0.6801156729796676,0.7699213144675521,1,4000
STAI-Trait,204,223,0.7489448694275916,0.7533163732522173,0.7532027869674277,0.022825958842467842,0.7067846358805498,0.7974720797387177,1,4000
ICAR,202,223,0.48221817697464814,0.4823586087443197,0.4825059853293203,0.0272503894602524,0.42929603111914905,0.5362264643798836,0.26425,4000
