Measure,N,N_ADHD,N_TD
ASRS,432,207,225
WURS,427,204,223
AQ,429,206,223
STAI-State,427,204,223
STAI-Trait,427,204,223
BDI,430,206,224
OCI-R,425,202,223
PQ-B,347,173,174
PATAS,194,167,27
ICAR,425,202,223
