Measure,N_ADHD,N_TD,CLES_mann_whitney,CLES_bayesian_median
ASRS,207,225,0.987,0.985
WURS,204,223,0.945,0.937
AQ,206,223,0.781,0.776
STAI-State,204,223,0.73,0.726
STAI-Trait,204,223,0.749,0.752
BDI,206,224,0.77,0.75
OCI-R,202,223,0.727,0.708
PQ-B,173,174,0.701,0.687
PATAS,167,27,0.726,0.706
ICAR,202,223,0.482,0.482
